Student_ID,Student_Name,Class,Math,Physics,Chemistry,English,Attendance
STU0313,Kavin,II BSc Maths,42,50,94,74,70
STU0314,Rahul,II BSc CS,74,50,72,82,99
STU0315,Harish,II BSc Maths,52,96,54,93,98
STU0316,Vijay,I BSc CS,95,62,66,45,93
STU0317,Nisha,II BSc CS,81,44,49,42,95
STU0318,Swathi,II BSc CS,60,54,56,76,93
STU0319,Nisha,I BSc Maths,61,97,46,100,88
STU0320,Ramesh,I BSc Maths,93,51,100,88,89
STU0321,Meena,I BSc Maths,94,74,37,85,76
STU0322,Sathish,I BSc Maths,62,44,40,89,82
STU0323,Kavin,I BSc Maths,42,43,95,39,78
STU0324,Divya,II BSc Maths,52,88,82,83,88
STU0325,Deepa,I BSc CS,83,45,52,79,67
STU0326,Karthik,II BSc CS,85,51,63,35,61
STU0327,Surya,I BSc CS,89,83,64,66,89
STU0328,Vijay,II BSc Maths,70,59,49,39,86
STU0329,Kavya,I BSc Maths,65,61,43,47,98
STU0330,Hari,I BSc CS,41,66,40,86,88
STU0331,Harish,II BSc CS,62,42,52,99,78
STU0332,Harish,II BSc CS,75,76,65,73,69
STU0333,Aishwarya,II BSc CS,63,87,73,70,63
STU0334,Lavanya,II BSc CS,57,89,98,41,82
STU0335,Sneha,I BSc CS,75,88,87,54,79
STU0336,Rahul,II BSc Maths,95,65,63,73,69
STU0337,Ramesh,I BSc CS,42,87,88,52,84
STU0338,Harish,III BSc Maths,61,77,45,92,83
STU0339,Sanjay,II BSc CS,59,41,69,83,98
STU0340,Kavya,I BSc Maths,44,59,62,96,73
STU0341,Deepa,III BSc Maths,73,36,62,59,67
STU0342,Nandhini,I BSc CS,66,61,85,65,95
STU0343,Ajith,III BSc Maths,83,94,80,74,76
STU0344,Vijay,II BSc CS,98,94,47,95,80
STU0345,Mohan,II BSc Maths,82,75,87,40,96
STU0346,Deepa,II BSc Maths,53,37,68,88,78
STU0347,Subha,II BSc Maths,77,64,83,66,91
STU0348,Lavanya,III BSc Maths,67,97,97,93,70
STU0349,Nandhini,III BSc Maths,56,52,97,58,94
STU0350,Sneha,I BSc Maths,39,44,41,35,86
STU0351,Subha,II BSc Maths,43,54,36,62,92
STU0352,Nisha,III BSc Maths,42,96,97,37,60
STU0353,Lavanya,II BSc CS,87,36,37,70,94
STU0354,Surya,I BSc Maths,99,90,57,48,66
STU0355,Keerthana,II BSc Maths,65,59,67,80,77
STU0356,Ramesh,I BSc CS,45,82,86,93,96
STU0357,Harish,II BSc Maths,73,45,39,46,85
STU0358,Rahul,I BSc CS,95,42,36,56,65
STU0359,Anitha,I BSc CS,77,47,40,64,73
STU0360,Swathi,II BSc CS,95,69,40,44,77
STU0361,Swathi,II BSc CS,39,57,75,37,73
STU0362,Meena,II BSc Maths,85,44,73,55,96
STU0363,Harish,II BSc CS,84,77,84,52,65
STU0364,Keerthana,III BSc Maths,41,47,90,64,64
STU0365,Ajith,II BSc CS,85,76,38,69,88
STU0366,Anitha,II BSc Maths,80,83,90,58,97
STU0367,Aishwarya,I BSc CS,45,72,66,44,65
STU0368,Praveen,II BSc Maths,83,54,84,75,83
STU0369,Priya,I BSc Maths,35,74,91,81,77
STU0370,Priya,II BSc Maths,46,58,90,92,95
STU0371,Lavanya,II BSc CS,87,48,38,46,82
STU0372,Lavanya,I BSc Maths,76,84,36,72,86
STU0373,Rahul,I BSc Maths,66,56,83,56,68
STU0374,Praveen,III BSc Maths,69,98,53,43,70
STU0375,Divya,III BSc Maths,88,73,96,44,83
STU0376,Praveen,II BSc Maths,98,60,93,48,68
STU0377,Surya,I BSc Maths,85,77,83,77,88
STU0378,Ajith,I BSc CS,52,73,76,60,90
STU0379,Ajith,II BSc Maths,85,75,72,97,96
STU0380,Ramesh,II BSc Maths,76,83,70,85,83
STU0381,Priya,II BSc CS,60,58,38,94,73
STU0382,Nisha,III BSc Maths,43,87,98,52,100
STU0383,Surya,II BSc Maths,67,54,89,83,64
STU0384,Nisha,II BSc CS,96,86,99,88,94
STU0385,Hari,III BSc Maths,45,48,66,80,70
STU0386,Sneha,II BSc CS,40,86,77,90,66
STU0387,Arun,I BSc Maths,68,63,100,63,88
STU0388,Vijay,I BSc CS,94,99,54,79,61
STU0389,Anitha,I BSc Maths,72,88,45,49,69
STU0390,Vijay,III BSc Maths,78,93,61,96,82
STU0391,Anitha,I BSc Maths,91,92,75,43,79
STU0392,Hari,I BSc Maths,37,78,48,56,75
STU0393,Keerthana,II BSc Maths,55,77,89,94,74
STU0394,Ramesh,I BSc CS,58,58,90,85,61
STU0395,Nandhini,II BSc CS,60,92,89,84,60
STU0396,Kavin,II BSc Maths,61,70,43,48,94
STU0397,Karthik,III BSc Maths,76,60,93,49,76
STU0398,Aishwarya,I BSc CS,75,84,85,49,82
STU0399,Vijay,I BSc CS,57,73,45,52,80
STU0400,Priya,II BSc Maths,74,49,58,82,69
STU0401,Keerthana,I BSc CS,88,52,84,89,71
STU0402,Anitha,II BSc CS,57,56,97,71,68
STU0403,Karthik,III BSc Maths,92,41,80,36,91
STU0404,Subha,II BSc Maths,84,99,98,87,91
STU0405,Divya,I BSc CS,97,56,45,38,74
STU0406,Surya,I BSc Maths,70,63,71,56,89
STU0407,Meena,I BSc CS,100,49,49,69,94
STU0408,Sathish,III BSc Maths,40,91,62,89,66
STU0409,Nandhini,II BSc Maths,73,39,92,68,82
STU0410,Deepa,I BSc Maths,91,50,65,61,97
STU0411,Kavin,III BSc Maths,89,56,52,61,73
STU0412,Ramesh,I BSc Maths,79,70,56,76,78
STU0413,Surya,II BSc CS,69,100,47,52,86
STU0414,Mohan,I BSc Maths,70,51,51,66,69
STU0415,Kavin,III BSc Maths,66,85,97,53,96
STU0416,Sneha,III BSc Maths,88,83,92,44,100
STU0417,Ramesh,I BSc Maths,86,100,70,82,89
STU0418,Anitha,III BSc Maths,35,46,93,80,64
STU0419,Ramesh,II BSc CS,85,62,89,62,91
STU0420,Praveen,III BSc Maths,71,78,51,97,81
STU0421,Swathi,I BSc Maths,40,47,93,37,67
STU0422,Mohan,II BSc Maths,91,93,35,89,72
STU0423,Kavin,II BSc Maths,73,55,70,46,83
STU0424,Praveen,I BSc Maths,82,56,41,85,100
STU0425,Surya,II BSc Maths,89,46,47,35,73
STU0426,Anitha,I BSc Maths,51,63,91,36,60
STU0427,Kavin,III BSc Maths,50,89,51,96,64
STU0428,Harish,I BSc CS,46,48,48,75,83
STU0429,Swathi,III BSc Maths,52,83,52,53,64
STU0430,Keerthana,II BSc CS,36,56,91,79,73
STU0431,Sneha,II BSc Maths,87,91,62,46,66
STU0432,Subha,I BSc Maths,84,79,89,75,68
STU0433,Harish,III BSc Maths,45,66,71,38,79
STU0434,Vignesh,II BSc CS,100,59,85,72,63
STU0435,Ramesh,II BSc Maths,98,84,49,65,91
STU0436,Sneha,II BSc CS,44,36,81,75,68
STU0437,Rahul,II BSc CS,88,81,57,95,64
STU0438,Arun,II BSc CS,43,36,68,62,62
STU0439,Mohan,I BSc Maths,85,99,71,99,86
STU0440,Divya,I BSc CS,45,54,70,45,79
STU0441,Sanjay,II BSc CS,61,54,76,85,97
STU0442,Sneha,I BSc Maths,74,90,65,42,75
STU0443,Sanjay,I BSc CS,49,93,42,74,71
STU0444,Priya,I BSc Maths,52,36,55,98,82
STU0445,Keerthana,II BSc CS,68,56,82,51,77
STU0446,Nandhini,I BSc Maths,38,77,89,69,93
STU0447,Sanjay,III BSc Maths,44,98,93,100,83
STU0448,Hari,I BSc CS,56,82,55,67,66
STU0449,Swathi,II BSc CS,49,64,100,35,62
STU0450,Deepa,I BSc Maths,66,40,95,81,84
STU0451,Mohan,II BSc Maths,57,39,88,63,80
STU0452,Harish,I BSc CS,75,69,44,82,67
STU0453,Keerthana,I BSc Maths,57,63,40,86,64
STU0454,Swathi,I BSc CS,71,74,76,46,95
STU0455,Nisha,I BSc Maths,82,60,72,73,99
STU0456,Harish,I BSc CS,82,98,60,66,69
STU0457,Arun,I BSc CS,38,64,79,36,81
STU0458,Arun,I BSc CS,74,48,61,65,86
STU0459,Anitha,I BSc Maths,53,70,46,40,74
STU0460,Swathi,II BSc CS,87,82,93,45,97
STU0461,Priya,II BSc CS,52,85,44,42,87
STU0462,Aishwarya,II BSc Maths,65,72,68,75,85
STU0463,Kavin,III BSc Maths,75,92,69,64,64
STU0464,Vignesh,II BSc Maths,48,54,48,56,88
STU0465,Nisha,III BSc Maths,87,50,80,61,88
STU0466,Surya,I BSc CS,68,50,46,55,79
STU0467,Sathish,II BSc CS,40,62,76,53,65
STU0468,Kavin,II BSc Maths,80,85,100,41,79
STU0469,Praveen,II BSc Maths,38,86,92,66,66
STU0470,Nisha,I BSc Maths,52,50,36,42,74
STU0471,Subha,II BSc Maths,86,82,45,68,64
STU0472,Arun,I BSc Maths,60,91,51,46,81
STU0473,Priya,I BSc Maths,94,41,56,90,85
STU0474,Anitha,I BSc Maths,83,89,57,80,73
STU0475,Mohan,II BSc Maths,70,70,92,54,62
STU0476,Kavya,II BSc CS,66,72,98,87,95
STU0477,Anitha,I BSc Maths,46,70,84,52,86
STU0478,Vignesh,II BSc CS,66,37,83,80,90
STU0479,Lavanya,I BSc CS,79,99,76,84,77
STU0480,Karthik,I BSc Maths,75,63,38,70,63
STU0481,Ramesh,I BSc CS,80,64,55,47,75
STU0482,Aishwarya,II BSc Maths,69,42,63,84,82
STU0483,Mohan,II BSc Maths,57,65,75,80,97
STU0484,Arun,III BSc Maths,53,59,98,74,71
STU0485,Anitha,I BSc Maths,46,42,64,63,61
STU0486,Keerthana,I BSc CS,35,77,60,51,81
STU0487,Kavin,II BSc Maths,76,42,37,53,97
STU0488,Kavin,II BSc Maths,49,81,44,82,85
STU0489,Meena,I BSc Maths,78,73,76,52,70
STU0490,Nandhini,I BSc CS,97,75,57,80,74
STU0491,Aishwarya,II BSc CS,57,83,74,72,68
STU0492,Karthik,I BSc Maths,85,39,58,75,99
STU0493,Harish,II BSc CS,48,98,53,77,64
STU0494,Harish,III BSc Maths,75,56,46,77,88
STU0495,Arun,III BSc Maths,61,66,43,79,76
STU0496,Ramesh,I BSc Maths,35,41,84,91,86
STU0497,Karthik,I BSc CS,98,83,79,83,66
STU0498,Sathish,I BSc CS,63,55,92,44,62
STU0499,Surya,I BSc Maths,75,68,48,44,81
STU0500,Karthik,I BSc CS,55,44,46,78,98
STU0501,Kavya,I BSc CS,38,90,56,90,70
STU0502,Hari,I BSc Maths,77,61,59,87,95
STU0503,Nandhini,II BSc CS,68,71,73,65,66
STU0504,Hari,I BSc CS,97,54,41,81,60
